feature_id,feature_name,total_count,percentage
CONST-MOV,Constituent Movement,11485,27.597558631295655
DEP-REL-CHG,Dependency Relation Change,9892,23.769703960015377
CLAUSE-TYPE-CHG,Clause Type Change,2728,6.5551710880430605
FW-DEL,Function Word Deletion,2241,5.384948096885813
PUNCT-DEL,Punctuation Deletion,1306,3.138216070742023
H-STRUCT,Headline Structure,1041,2.501441753171857
CONST-COUNT-DIFF,Constituent Count Difference,1041,2.501441753171857
DEP-DIST-DIFF,Dependency Distance Difference,1041,2.501441753171857
TREE-DEPTH-DIFF,Tree Depth Difference,1041,2.501441753171857
H-TYPE,Headline Type,1041,2.501441753171857
BRANCH-DIFF,Branching Factor Difference,1041,2.501441753171857
TED-RTED,TED-RTED,1035,2.487024221453287
TED-SIMPLE,TED-SIMPLE,1034,2.4846212995001924
LENGTH-CHG,Sentence Length Change,1022,2.4557862360630525
TED-KLEIN,TED-KLEIN,806,1.9367550941945404
TED-ZHANG-SHASHA,TED-ZHANG-SHASHA,806,1.9367550941945404
C-DEL,Content Word Deletion,720,1.7301038062283738
C-ADD,Content Word Addition,540,1.2975778546712802
PUNCT-ADD,Punctuation Addition,401,0.9635717031910804
HEAD-CHG,Dependency Head Change,282,0.6776239907727797
CONST-REM,Constituent Removal,254,0.6103421760861207
FW-ADD,Function Word Addition,170,0.40849673202614384
FEAT-CHG,Morphological Feature Change,160,0.3844675124951942
PUNCT-SUBST,Punctuation Substitution,138,0.33160322952710497
CONST-ADD,Constituent Addition,124,0.29796232218377544
POS-CHG,Part of Speech Change,89,0.21386005382545173
FORM-CHG,Surface Form Change,89,0.21386005382545173
LEMMA-CHG,Lemma Change,22,0.0528642829680892
VERB-FORM-CHG,Verb Form Change,14,0.03364090734332949
TOKEN-REORDER,Token Reordering,12,0.02883506343713956
