newspaper,feature_id,feature_name,count,percentage_of_newspaper
Times-of-India,FW-DEL,Function Word Deletion,2241,7.264887995591144
Times-of-India,DEP-REL-CHG,Dependency Relation Change,9892,32.0679482607709
Times-of-India,LENGTH-CHG,Sentence Length Change,1022,3.3131260738483483
Times-of-India,CONST-REM,Constituent Removal,254,0.8234188089603528
Times-of-India,CONST-MOV,Constituent Movement,11485,37.2321457516128
Times-of-India,CLAUSE-TYPE-CHG,Clause Type Change,2728,8.843647680487567
Times-of-India,TED,Tree Edit Distance,1034,3.3520277498622235
Times-of-India,HEAD-CHG,Dependency Head Change,282,0.9141893863260608
Times-of-India,C-DEL,Content Word Deletion,720,2.334100560832496
Times-of-India,C-ADD,Content Word Addition,540,1.7505754206243718
Times-of-India,POS-CHG,Part of Speech Change,89,0.2885207637695724
Times-of-India,FORM-CHG,Surface Form Change,89,0.2885207637695724
Times-of-India,FEAT-CHG,Morphological Feature Change,129,0.41819301714915547
Times-of-India,CONST-ADD,Constituent Addition,124,0.40198398547670766
Times-of-India,FW-ADD,Function Word Addition,170,0.5511070768632281
Times-of-India,LEMMA-CHG,Lemma Change,22,0.0713197393587707
Times-of-India,VERB-FORM-CHG,Verb Form Change,14,0.04538528868285409
Times-of-India,TOKEN-REORDER,Token Reordering,12,0.03890167601387493
