newspaper,parse_type,feature_id,feature_name,count,percentage_of_combination
Times-of-India,dependency,FW-DEL,Function Word Deletion,2241,14.722112731572723
Times-of-India,dependency,DEP-REL-CHG,Dependency Relation Change,9892,64.98489029036921
Times-of-India,dependency,LENGTH-CHG,Sentence Length Change,1022,6.7139666272500325
Times-of-India,dependency,HEAD-CHG,Dependency Head Change,282,1.8525817895151755
Times-of-India,dependency,C-DEL,Content Word Deletion,720,4.729996058336618
Times-of-India,dependency,C-ADD,Content Word Addition,540,3.5474970437524638
Times-of-India,dependency,POS-CHG,Part of Speech Change,89,0.5846800683221653
Times-of-India,dependency,FORM-CHG,Surface Form Change,89,0.5846800683221653
Times-of-India,dependency,FEAT-CHG,Morphological Feature Change,129,0.847457627118644
Times-of-India,dependency,FW-ADD,Function Word Addition,170,1.1168046248850347
Times-of-India,dependency,LEMMA-CHG,Lemma Change,22,0.14452765733806333
Times-of-India,dependency,VERB-FORM-CHG,Verb Form Change,14,0.09197214557876757
Times-of-India,dependency,TOKEN-REORDER,Token Reordering,12,0.07883326763894363
Times-of-India,constituency,CONST-REM,Constituent Removal,254,1.6256
Times-of-India,constituency,CONST-MOV,Constituent Movement,11485,73.504
Times-of-India,constituency,CLAUSE-TYPE-CHG,Clause Type Change,2728,17.4592
Times-of-India,constituency,TED,Tree Edit Distance,1034,6.6175999999999995
Times-of-India,constituency,CONST-ADD,Constituent Addition,124,0.7936000000000001
